"","expo","nclaims","amount","coverage","ageph","sex","bm","power","agec","fuel","use","fleet","long","lat"
"81962",0.597260273972603,0,0,"TPL+",48,"male",0,44,1,"gasoline","private","0",4.60884938799216,50.4469893004344
"27194",1,0,0,"TPL++",45,"male",4,66,2,"diesel","work","0",4.38714643615594,51.2160423671088
"15384",1,0,0,"TPL+",36,"female",1,100,8,"gasoline","private","0",4.17854723478253,50.6906257739008
"11763",1,0,0,"TPL+",65,"female",5,43,3,"gasoline","private","0",4.87419458807512,50.6574048480074
"110214",1,0,0,"TPL+",62,"male",0,83,12,"gasoline","private","0",4.13078528454643,50.6165403320751
"15477",0.917808219178082,0,0,"TPL",32,"male",7,33,5,"gasoline","private","0",4.17854723478253,50.6906257739008
"40287",1,1,193.629632200377,"TPL",41,"male",0,78,2,"gasoline","private","0",4.23104105710746,51.0959392503027
"94898",1,0,0,"TPL+",44,"male",0,55,7,"diesel","private","0",4.25371663926561,50.4041036272315
"18960",1,0,0,"TPL+",30,"female",2,40,10,"gasoline","private","0",4.18906639134992,50.9113683404851
"161219",1,0,0,"TPL",33,"female",6,51,16,"gasoline","private","0",3.46078200928209,50.9377411470915
"102877",1,0,0,"TPL++",32,"male",7,55,4,"diesel","private","0",5.80642284754309,49.6176933501103
"141737",1,2,2629.75366820443,"TPL",23,"male",10,63,9,"gasoline","private","0",3.12220097428269,50.9370076223797
"67918",0.0849315068493151,0,0,"TPL",27,"male",5,44,2,"gasoline","private","0",5.42923359281155,50.5974461281429
"152386",1,0,0,"TPL",65,"male",5,34,7,"gasoline","private","0",4.19347022671512,51.1335154441337
"2117",1,0,0,"TPL",63,"male",2,107,15,"gasoline","private","0",4.382733186599,50.8333251373601
"30275",1,1,1305.53124821827,"TPL",57,"female",0,44,9,"diesel","private","0",4.82248140858137,51.2562733838241
"150578",1,1,94.273907471263,"TPL++",50,"male",1,85,4,"gasoline","private","0",4.1502097937052,51.1714865860244
"111236",1,0,0,"TPL",79,"female",0,55,11,"gasoline","private","0",4.1660211675673,50.4679258787816
"15064",0.70958904109589,0,0,"TPL+",23,"male",11,37,5,"gasoline","private","0",4.23654366661515,50.6412298687091
"44762",1,1,3842.34963398521,"TPL",29,"male",0,44,6,"gasoline","private","0",4.68383153521203,50.8816251488922
"82085",1,0,0,"TPL",45,"male",0,40,10,"gasoline","private","0",4.60884938799216,50.4469893004344
"123827",1,0,0,"TPL",48,"female",9,69,10,"diesel","private","0",3.3850926114405,50.5371041551838
"5643",1,1,74.0705852022439,"TPL+",44,"male",1,74,5,"gasoline","private","0",4.29736955586532,50.8750210648933
"9828",0.0493150684931507,0,0,"TPL",30,"male",11,30,11,"gasoline","private","0",4.35776518057341,50.8542685816753
"13782",1,0,0,"TPL+",39,"male",7,92,7,"gasoline","private","0",4.34681694963428,50.6925313743915
"25630",1,0,0,"TPL",42,"female",0,40,12,"gasoline","private","0",4.38714643615594,51.2160423671088
"69994",1,1,64.6258419083835,"TPL++",37,"male",8,51,5,"diesel","private","0",5.42789498806051,50.638276659116
"94546",1,0,0,"TPL",42,"male",1,85,11,"gasoline","private","0",4.31082770229253,50.4122269967164
"69537",0.665753424657534,0,0,"TPL",30,"female",7,33,7,"gasoline","private","0",5.51668498270527,50.6586685751288
"128184",1,0,0,"TPL+",26,"female",6,34,10,"gasoline","private","0",3.81557563469108,50.7084278097452
"47555",1,0,0,"TPL",28,"male",5,43,7,"diesel","private","0",4.81294774207689,50.9806911065754
"80366",1,0,0,"TPL++",57,"male",4,70,4,"diesel","private","0",4.85818540668705,50.4620030651056
"48264",1,0,0,"TPL+",33,"male",10,60,3,"diesel","private","0",5.07277666031881,51.003202852876
"99751",1,0,0,"TPL",28,"male",2,54,9,"gasoline","private","0",4.51633678392786,50.3480820715844
"125049",1,0,0,"TPL",40,"female",6,47,12,"gasoline","private","0",3.21146030365927,50.7436010825715
"133343",1,0,0,"TPL",73,"male",0,85,5,"gasoline","private","0",2.9141331178341,51.2104512001652
"106290",1,0,0,"TPL",61,"male",1,40,17,"gasoline","private","0",3.9567613947591,50.4569048505571
"93246",1,0,0,"TPL+",35,"male",1,40,8,"diesel","private","0",4.43709177560176,50.4173411858797
"106820",0.410958904109589,0,0,"TPL++",41,"male",0,68,2,"diesel","private","0",3.9567613947591,50.4569048505571
"128022",1,0,0,"TPL",54,"male",0,55,4,"gasoline","private","0",3.81557563469108,50.7084278097452
"86969",1,0,0,"TPL",22,"male",14,62,14,"gasoline","private","0",5.11079351536226,50.2700800392335
"145592",1,0,0,"TPL",67,"male",0,54,8,"gasoline","private","0",3.04463036276887,50.8107130632389
"68142",1,0,0,"TPL",71,"male",0,40,6,"gasoline","private","0",5.42923359281155,50.5974461281429
"53199",1,0,0,"TPL",36,"male",0,40,12,"diesel","private","0",5.65801844202716,50.9740152578853
"81783",1,0,0,"TPL+",66,"male",1,66,7,"gasoline","private","0",4.60884938799216,50.4469893004344
"152848",0.789041095890411,0,0,"TPL",27,"male",3,74,19,"gasoline","private","0",3.94882751713543,51.1143185964778
"38363",1,0,0,"TPL",50,"male",0,66,10,"gasoline","private","0",4.40919357666147,51.0944988094493
"130601",0.131506849315068,0,0,"TPL",51,"male",1,57,12,"gasoline","private","0",3.20141248588086,51.2341856537094
"30306",1,2,2661.31051390807,"TPL",39,"male",4,50,8,"diesel","private","0",4.82248140858137,51.2562733838241
"135681",1,0,0,"TPL",69,"female",1,51,10,"gasoline","private","0",3.2647604444955,50.8160163165965
"93850",1,1,1400.12741727173,"TPL",46,"male",7,70,7,"gasoline","private","0",4.36596526327182,50.3728339671813
"93258",1,0,0,"TPL+",27,"female",1,47,6,"diesel","private","0",4.43709177560176,50.4173411858797
"129427",1,0,0,"TPL",56,"female",0,84,11,"diesel","private","0",3.53370645161175,50.6916780966871
"72699",0.408219178082192,0,0,"TPL",58,"male",0,85,6,"gasoline","private","0",5.2878619068277,50.4737887867206
"103659",0.413698630136986,0,0,"TPL+",38,"male",4,77,7,"gasoline","private","0",5.79271200231588,49.5665611096009
"27462",1,1,368.320199108079,"TPL+",57,"male",5,65,5,"gasoline","private","0",4.38714643615594,51.2160423671088
"25222",1,0,0,"TPL",41,"female",6,48,5,"gasoline","private","0",4.38714643615594,51.2160423671088
"56366",1,0,0,"TPL",23,"male",9,66,11,"gasoline","private","0",5.32066127099771,50.8435104032435
"100369",1,1,71.8891221842394,"TPL+",40,"female",2,40,5,"gasoline","private","0",4.24410041644813,50.2227278852773
"122408",1,1,827.716479217846,"TPL+",31,"male",1,70,6,"gasoline","private","0",3.37582731451015,50.5925185407709
"137933",1,0,0,"TPL++",50,"male",2,100,2,"gasoline","private","0",3.16175485166965,50.8320313106517
"140558",1,0,0,"TPL",51,"male",1,66,15,"diesel","private","0",3.28341100538196,50.9515641646002
"74418",0.66027397260274,0,0,"TPL+",41,"male",1,42,8,"diesel","private","0",5.72305244119386,50.6177182970185
"86152",1,0,0,"TPL",48,"male",0,50,5,"diesel","private","0",4.97553756538926,50.5544887200834
"71115",1,0,0,"TPL+",46,"male",0,65,6,"diesel","private","0",5.21146679055849,50.5091583544324
"37493",1,0,0,"TPL",54,"female",2,44,2,"gasoline","private","0",4.45285369981568,51.0357334294333
"96218",1,1,161.973629086835,"TPL+",76,"female",0,48,4,"gasoline","private","0",4.36024375406355,50.4620091548263
"8664",1,0,0,"TPL++",41,"male",4,107,5,"gasoline","private","0",4.3126036782253,50.8145607344824
"115729",0.178082191780822,0,0,"TPL",50,"female",2,54,10,"gasoline","private","0",4.25662908816494,50.5269114727013
"59044",1,0,0,"TPL+",56,"female",9,50,9,"gasoline","private","0",5.55664901167823,50.6478075291239
"148617",0.189041095890411,0,0,"TPL++",57,"male",3,77,3,"diesel","work","0",3.70660884472355,51.0590759805841
"44390",1,0,0,"TPL+",32,"male",0,69,2,"gasoline","private","0",4.68383153521203,50.8816251488922
"156912",1,0,0,"TPL+",24,"male",16,85,8,"gasoline","private","0",4.05710572925494,50.8847370606765
"11366",0.175342465753425,1,64.6258419083835,"TPL++",47,"female",0,88,1,"gasoline","private","0",4.95141255618514,50.6905079053891
"555",1,0,0,"TPL",49,"female",7,33,13,"gasoline","private","0",4.35522299485413,50.8453864646626
"41934",0.413698630136986,0,0,"TPL",26,"female",9,35,8,"gasoline","private","0",4.3652153879577,51.3287848704409
"153130",1,0,0,"TPL++",36,"male",0,85,8,"gasoline","private","0",4.10709962019283,51.2301180746218
"34076",0.663013698630137,0,0,"TPL++",26,"female",6,66,3,"gasoline","private","0",4.48599119177952,51.1282198430877
"5748",1,0,0,"TPL+",67,"male",10,65,3,"gasoline","private","0",4.29736955586532,50.8750210648933
"132904",0.964383561643836,0,0,"TPL",39,"male",7,52,14,"gasoline","work","0",2.9141331178341,51.2104512001652
"53198",1,0,0,"TPL+",42,"male",0,55,2,"diesel","private","0",5.65801844202716,50.9740152578853
"37334",1,0,0,"TPL",85,"male",10,39,2,"gasoline","private","0",4.45285369981568,51.0357334294333
"21617",1,0,0,"TPL+",24,"female",9,51,4,"diesel","private","0",4.37305172273991,50.941116827219
"76196",1,0,0,"TPL",65,"male",2,32,9,"gasoline","private","0",6.00026274026012,50.726174329429
"16769",0.841095890410959,0,0,"TPL",73,"male",0,40,10,"gasoline","work","0",4.22882726584794,50.7309769583469
"107972",1,0,0,"TPL",71,"female",1,29,9,"gasoline","private","0",3.88961109588411,50.5257236368601
"53150",1,0,0,"TPL+",65,"male",0,40,14,"diesel","private","0",5.62639415023711,50.8896079776522
"132390",0.342465753424658,0,0,"TPL",45,"female",0,66,4,"gasoline","private","0",3.31481540441044,51.3336599920086
"93725",1,0,0,"TPL++",57,"male",1,55,4,"diesel","private","1",4.36596526327182,50.3728339671813
"21227",0.523287671232877,0,0,"TPL+",29,"female",1,33,5,"gasoline","private","0",4.48740737751093,50.921610177179
"162159",1,0,0,"TPL++",44,"male",4,85,3,"diesel","private","0",3.43973965499571,51.1332964161721
"158382",1,0,0,"TPL",67,"male",4,51,6,"diesel","private","1",3.79377696065688,50.8683956925694
"69370",1,0,0,"TPL",49,"male",4,48,9,"diesel","private","0",5.51668498270527,50.6586685751288
"136782",0.758904109589041,0,0,"TPL",41,"male",5,105,2,"diesel","work","0",3.30589838083999,50.8439096861155
"157461",1,0,0,"TPL",69,"female",5,82,15,"gasoline","private","0",3.59560780591428,50.7501996312453
"14",0.972602739726027,0,0,"TPL",49,"male",8,71,19,"gasoline","private","0",4.35522299485413,50.8453864646626
"143851",1,0,0,"TPL++",55,"male",0,66,10,"diesel","private","0",2.8774750265265,50.861052284387
"67439",0.495890410958904,0,0,"TPL++",35,"male",0,61,3,"diesel","private","0",5.31423448899072,50.6499586125682
"156963",1,0,0,"TPL",41,"male",5,43,3,"gasoline","private","0",3.87237286629165,50.7623626956758
"150427",0.0958904109589041,0,0,"TPL",56,"female",1,52,10,"gasoline","private","0",3.78470095295356,50.9974204491598
"94286",1,0,0,"TPL++",44,"female",0,51,4,"diesel","private","1",4.31082770229253,50.4122269967164
"32691",1,0,0,"TPL",62,"male",0,55,9,"gasoline","private","0",5.0616033946819,51.1251790094524
"65554",1,0,0,"TPL+",69,"male",0,47,2,"diesel","private","0",5.10793133315723,50.6221046399196
"132557",1,1,75.756261170702,"TPL++",70,"male",1,90,5,"gasoline","private","0",3.12862031501893,51.3008628248791
"111473",1,0,0,"TPL",27,"male",5,60,6,"gasoline","private","0",4.1660211675673,50.4679258787816
"89587",1,0,0,"TPL",72,"male",1,43,20,"gasoline","private","0",4.43709177560176,50.4173411858797
"90323",1,0,0,"TPL",65,"male",0,55,9,"gasoline","private","0",4.43709177560176,50.4173411858797
"20933",1,0,0,"TPL",67,"male",0,66,3,"gasoline","private","0",4.42199154955779,50.9306576039942
"33939",1,0,0,"TPL++",65,"male",1,85,2,"gasoline","private","0",4.47040520544561,51.1478339184859
"1069",0.671232876712329,0,0,"TPL",39,"male",4,40,8,"gasoline","private","0",4.35522299485413,50.8453864646626
"7149",1,0,0,"TPL",74,"male",11,70,11,"gasoline","work","0",4.42631263766543,50.8108174541943
"22742",1,0,0,"TPL",68,"male",0,65,5,"gasoline","private","0",4.47506361099577,50.8833884865668
"28818",0.476712328767123,0,0,"TPL+",57,"female",7,47,5,"gasoline","private","0",4.5072494214684,51.2070603907108
"11991",0.268493150684932,0,0,"TPL",40,"male",5,81,7,"gasoline","private","0",4.84869854551243,50.7291141313659
"74339",1,1,128.359267127583,"TPL+",43,"male",0,55,3,"diesel","private","0",5.72305244119386,50.6177182970185
"47",1,0,0,"TPL++",57,"male",3,110,2,"gasoline","work","1",4.35522299485413,50.8453864646626
"30382",1,0,0,"TPL",51,"male",5,52,13,"diesel","private","0",4.7284695769599,51.1856196747377
"402",0.589041095890411,0,0,"TPL",50,"male",0,55,9,"diesel","private","0",4.35522299485413,50.8453864646626
"80515",1,0,0,"TPL+",36,"male",3,85,8,"gasoline","private","0",4.85818540668705,50.4620030651056
"138029",0.495890410958904,0,0,"TPL",31,"male",10,48,10,"gasoline","private","0",3.16175485166965,50.8320313106517
"92558",1,0,0,"TPL+",57,"male",0,70,6,"gasoline","private","0",4.43709177560176,50.4173411858797
"159350",1,0,0,"TPL",26,"male",9,62,11,"diesel","private","0",3.60910887596644,50.8538489882237
"32166",1,0,0,"TPL",39,"female",6,55,13,"gasoline","private","0",5.14094542520789,51.2342635276529
"66294",0.980821917808219,0,0,"TPL++",67,"male",0,55,2,"diesel","private","0",5.25512809509581,50.6945616991522
"29106",1,0,0,"TPL",60,"female",0,66,15,"gasoline","private","0",4.81574034293503,51.164325946244
"32003",1,0,0,"TPL",37,"male",1,33,10,"gasoline","private","0",5.14094542520789,51.2342635276529
"126303",1,0,0,"TPL",48,"male",3,66,14,"diesel","private","0",3.77338905250969,50.6353253424878
"94469",1,0,0,"TPL+",36,"female",2,49,5,"diesel","private","0",4.31082770229253,50.4122269967164
"105937",1,1,14209.6782589942,"TPL",33,"female",10,33,15,"gasoline","private","0",3.9567613947591,50.4569048505571
"148477",1,0,0,"TPL",64,"female",0,68,4,"gasoline","private","0",3.70660884472355,51.0590759805841
"122752",1,1,145.017711992345,"TPL",72,"male",0,40,10,"gasoline","private","0",3.37582731451015,50.5925185407709
"152093",0.756164383561644,0,0,"TPL",42,"female",0,48,10,"gasoline","private","0",4.19347022671512,51.1335154441337
"24361",1,0,0,"TPL",46,"male",1,67,7,"gasoline","private","0",4.38714643615594,51.2160423671088
"86189",0.197260273972603,0,0,"TPL",43,"male",11,50,13,"gasoline","private","0",4.90393094364755,50.2361380874386
"130058",1,0,0,"TPL",41,"male",0,47,8,"gasoline","private","0",3.72111622048098,50.5353140543811
